Employer,Title,Salary,Location,Start Date
ADOBE SYSTEMS INCORPORATED,MACHINE LEARNING SCIENTIST,"117,083","SAN JOSE, CA",9/14/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"117,075","BELLEVUE, WA",12/2/2015
FACEBOOK INC,DATA SCIENTIST,"117,026","MENLO PARK, CA",10/1/2018
AON CONSULTING INC,DATA SCIENTIST,"117,000","NEW YORK, NY",1/8/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"117,000","REDMOND, WA",7/10/2018
PIPER COMPANIES LLC,DATA SCIENTIST,"117,000","MCLEAN, VA",7/20/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"117,000","BELLEVUE, WA",4/19/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"117,000","BELLEVUE, WA",5/3/2017
CSAA INSURANCE SERVICES INC,DATA SCIENTIST,"117,000","WALNUT CREEK, CA",8/15/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"117,000","CAMBRIDGE, MA",11/2/2015
TWITTER INC,DATA SCIENTIST,"117,000","SAN FRANCISCO, CA",6/15/2016
TWITTER INC,DATA SCIENTIST,"117,000","SAN FRANCISCO, CA",9/18/2016
SOLARCITY CORPORATION,DATA SCIENTIST,"117,000","SAN MATEO, CA",9/21/2016
MARKETSHARE PARTNERS LLC,DATA SCIENTIST -- SIMULATION OPTIMIZATION,"117,000","LOS ANGELES, CA",8/22/2016
APPLE INC,MACHINE LEARNING ENGINEER,"117,000","SEATTLE, WA",8/15/2018
AMERICAN INSTITUTES FOR RESEARCH,SENIOR DATA SCIENTIST,"116,834","WASHINGTON, DC",11/20/2017
GRUBHUB HOLDINGS INC,DATA SCIENTIST,"116,800","NEW YORK, NY",8/28/2017
ORACLE AMERICA INC,DATA SCIENTIST,"116,720","SANTA CLARA, CA",7/26/2018
SUPSTAT INC,DATA SCIENTIST,"116,640","NEW YORK, NY",9/15/2018
OATH HOLDINGS INC,SR DATA SCIENTIST,"116,625","NEW YORK, NY",8/28/2018
OATH HOLDINGS INC,SR. DATA SCIENTIST,"116,625","NEW YORK, NY",3/16/2018
T-MOBILE USA INC,DATA SCIENTIST,"116,600","BELLEVUE, WA",9/8/2018
T-MOBILE USA INC,DATA SCIENTIST,"116,600","BELLEVUE, WA",9/8/2018
ELEVATE CREDIT SERVICE LLC,DATA SCIENTIST II,"116,600","SAN DIEGO, CA",8/9/2018
GENERAL ELECTRIC COMPANY - GE GLOBAL RESEARCH CENTER,MACHINE LEARNING RESEARCHER,"116,500","NISKAYUNA, NY",8/6/2018
MACHINE ZONE INC,DATA SCIENTIST,"116,480","PALO ALTO, CA",3/12/2015
MACHINE ZONE INC,DATA SCIENTIST,"116,480","PALO ALTO, CA",9/9/2015
MACHINE ZONE INC,DATA SCIENTIST,"116,480","PALO ALTO, CA",5/19/2015
LENDINGCLUB CORPORATION,SENIOR DATA SCIENTIST,"116,415","SAN FRANCISCO, CA",1/27/2014
ZILLOW INC,DATA SCIENTIST,"116,400","SEATTLE, WA",10/15/2018
ZILLOW INC,DATA SCIENTIST,"116,400","SEATTLE, WA",10/15/2018
UNIVERSITY OF VIRGINIA,"DATA SCIENTIST, SENIOR","116,390","CHARLOTTESVILLE, VA",9/10/2018
CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION LABORATORY,DATA SCIENTIST,"116,376","PASADENA, CA",4/15/2018
ALLY LABS INC,MACHINE LEARNING ENGINEER,"116,272","BROOKLYN, NY",9/1/2018
ENTERGY SERVICES INC,DATA SCIENTIST SR,"116,252","NEW ORLEANS, LA",9/22/2018
NATIONAL GRID USA SERVICE COMPANY INC,DATA SCIENTIST,"116,230","BROOKLYN, NY",8/15/2018
FACEBOOK INC,DATA SCIENTIST,"116,138","MENLO PARK, CA",9/8/2014
MICROSOFT CORPORATION,MACHINE LEARNING SCIENTIST,"116,080","BELLEVUE, WA",10/2/2015
ORACLE AMERICA INC,DATA SCIENTIST,"116,042","REDWOOD SHORES, CA",3/16/2018
SLALOM LLC,DATA SCIENCE AND ANALYTICS CONSULTANT,"116,000","SAN FRANCISCO, CA",8/25/2018
ITTSTAR CONSULTING LLC,DATA SCIENTIST,"116,000","ALPHARETTA, GA",9/1/2018
ITTSTAR CONSULTING LLC,DATA SCIENTIST,"116,000","ALPHARETTA, GA",9/1/2018
NORDSTROM INC,DATA SCIENTIST,"116,000","SEATTLE, WA",8/18/2018
APPLIED MATERIALS INC,DATA SCIENTIST,"116,000","SANTA CLARA, CA",8/6/2018
CUBESMART LP,DATA SCIENTIST STATISTICIAN,"116,000","MALVERN, PA",9/9/2018
CUBESMART LP,DATA SCIENTIST STATISTICIAN,"116,000","MALVERN, PA",9/9/2018
CUBESMART LP,DATA SCIENTIST STATISTICIAN,"116,000","MALVERN, PA",9/9/2018
WAL-MART ASSOCIATES INC,ASSOCIATE DATA SCIENTIST,"116,000","BENTONVILLE, AR",10/10/2016
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"116,000","MOUNTAIN VIEW, CA",2/6/2018
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"116,000","MOUNTAIN VIEW, CA",3/5/2018
GUIDEWIRE SOFTWARE INC,DATA SCIENTIST,"115,887","SAN MATEO, CA",4/2/2018
GUIDEWIRE SOFTWARE INC,DATA SCIENTST,"115,887","SAN MATEO, CA",9/11/2018
MAGOOSH INC,DATA SCIENTIST,"115,814","BERKELEY, CA",9/1/2018
IBM CORPORATION,DATA SCIENCE MANAGER,"115,800","NEW YORK, NY",12/14/2016
OSPREYDATA INC,DATA SCIENTIST,"115,800","SAN JUAN CAPISTRANO, CA",9/19/2018
IBM CORPORATION,DATA SCIENTIST,"115,800","ARMONK, NY",2/20/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,752","CAMBRIDGE, MA",9/30/2014
GARRETT TRANSPORTATION I INC,DATA SCIENTIST,"115,748","ATLANTA, GA",10/1/2018
INTEL CORPORATION,DATA SCIENTIST,"115,693","SANTA CLARA, CA",5/28/2015
INTEL AMERICA'S,DATA SCIENTIST,"115,682","SANTA CLARA, CA",10/9/2015
MICROSOFT CORPORATION,DATA SCIENTIST,"115,600","REDMOND, WA",9/1/2018
APPLE INC,DATA SCIENTIST MGR 1,"115,600","AUSTIN, TX",8/3/2018
APPLE INC,DATA SCIENTIST MGR 1,"115,600","AUSTIN, TX",8/3/2018
MONSANTO COMPANY,DATA SCIENTIST - ELS,"115,566","WOODLAND, CA",8/17/2017
NVIDIA CORPORATION,DATA SCIENTIST,"115,543","SANTA CLARA, CA",9/13/2017
NVIDIA CORPORATION,SENIOR DATA SCIENTIST,"115,543","SANTA CLARA, CA",9/1/2017
QUICKEN LOANS INC,DATA SCIENTIST,"115,500","HUNTINGTON BEACH, CA",4/10/2015
AQUASIGHT LLC,SENIOR DATA SCIENTIST,"115,500","TROY, MI",8/31/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,482","SAN FRANCISCO, CA",6/1/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"115,400","REDMOND, WA",3/30/2017
STITCH FIX INC,DATA SCIENTIST,"115,357","SAN FRANCISCO, CA",9/24/2014
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,211","PALO ALTO, CA",6/1/2017
NEXTDOORCOM INC,DATA SCIENTIST,"115,211","SAN FRANCISCO, CA",8/23/2017
SALESFORCECOM INC,DATA SCIENTIST,"115,211","SAN FRANCISCO, CA",8/26/2017
LINKEDIN CORPORATION,DATA SCIENTIST,"115,211","MOUNTAIN VIEW, CA",6/5/2017
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"115,211","MOUNTAIN VIEW, CA",3/27/2017
NVIDIA CORPORATION,SENIOR DATA SCIENTIST,"115,211","SANTA CLARA, CA",7/26/2017
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"115,211","SUNNYVALE, CA",8/28/2017
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"115,211","SAN FRANCISCO, CA",9/5/2017
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"115,211","SUNNYVALE, CA",5/1/2017
LINKEDIN CORPORATION,SENIOR DATA SCIENTIST,"115,211","SUNNYVALE, CA",6/12/2017
TARGET ENTERPRISE INC,LEAD DATA SCIENTIST,"115,211","SUNNYVALE, CA",9/1/2017
TARGET ENTERPRISE INC,LEAD DATA SCIENTIST,"115,211","SUNNYVALE, CA",9/1/2017
MACHINE ZONE INC,ML & NLP ENGINEER,"115,103","PALO ALTO, CA",8/29/2017
LINKEDIN CORPORATION,DATA SCIENTIST,"115,060","SUNNYVALE, CA",9/3/2018
LINKEDIN CORPORATION,DATA SCIENTIST,"115,060","SUNNYVALE, CA",9/3/2018
LINKEDIN CORPORATION,DATA SCIENTIST,"115,060","SUNNYVALE, CA",9/3/2018
LINKEDIN CORPORATION,DATA SCIENTIST,"115,060","MOUNTAIN VIEW, CA",9/16/2018
LINKEDIN CORPORATION,DATA SCIENTIST,"115,060","SUNNYVALE, CA",9/3/2018
NVIDIA CORPORATION,DATA SCIENTIST,"115,060","SANTA CLARA, CA",7/28/2018
NVIDIA CORPORATION,DATA SCIENTIST,"115,060","SANTA CLARA, CA",7/28/2018
LINKEDIN CORPORATION,DATA SCIENTIST,"115,060","SUNNYVALE, CA",9/11/2018
LINKEDIN CORPORATION,DATA SCIENTIST,"115,060","SUNNYVALE, CA",9/16/2018
FACEBOOK INC,DATA SCIENTIST,"115,058","MENLO PARK, CA",1/1/2015
SCHLUMBERGER TECHNOLOGY CORPORATION,DATA SCIENTIST,"115,050","HOUSTON, TX",9/6/2018
AETNA RESOURCES LLC,DATA SCIENCE ANALYST,"115,000","NEW YORK, NY",10/26/2017
DATACAMP INC,DATA SCIENCE COURSE DEVELOPER - PYTHON,"115,000","NEW YORK, NY",11/13/2017
APPLIED DATA FINANCE LLC,DATA SCIENCE DIRECTOR,"115,000","SAN DIEGO, CA",9/12/2018
CKM ADVISORS LLC,DATA SCIENCE DIRECTOR,"115,000","NEW YORK, NY",3/24/2017
APPLIED DATA FINANCE LLC,DATA SCIENCE DIRECTOR,"115,000","SAN DIEGO, CA",9/16/2017
LENDING TREE LLC,DATA SCIENCE ENGINEER,"115,000","CHARLOTTE, NC",3/12/2018
GRIDXINC,DATA SCIENCE ENGINEER,"115,000","MILPITAS, CA",5/14/2018
DTEX SYSTEMS INC,DATA SCIENCE ENGINEER,"115,000","SAN JOSE, CA",9/7/2018
DTEX SYSTEMS INC,DATA SCIENCE ENGINEER,"115,000","SAN JOSE, CA",9/2/2017
TAPJOY INC,DATA SCIENCE ENGINEER,"115,000","SAN FRANCISCO, CA",6/19/2017
UBER TECHNOLOGIES INC,DATA SCIENCE SCIENTIST,"115,000","SAN FRANCISCO, CA",2/1/2016
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",9/19/2018
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",6/1/2018
GENERAL ELECTRIC COMPANY,DATA SCIENTIST,"115,000","SAN RAMON, CA",8/29/2018
SIMONS FOUNDATION,DATA SCIENTIST,"115,000","NEW YORK, NY",6/5/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",11/3/2017
TAPJOY INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/6/2018
OPTIVER US LLC,DATA SCIENTIST,"115,000","CHICAGO, IL",11/1/2018
DUO SECURITY INC,DATA SCIENTIST,"115,000","AUSTIN, TX",8/29/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",6/1/2018
FARMER'S BUSINESS NETWORK INC,DATA SCIENTIST,"115,000","SAN CARLOS, CA",9/2/2018
WHATSAPP INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",8/30/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",5/17/2018
SENTENAI INC,DATA SCIENTIST,"115,000","CAMBRIDGE, MA",9/15/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",11/1/2017
PAYJOY INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/12/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",12/13/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",8/11/2018
SQUARESPACE INC,DATA SCIENTIST,"115,000","NEW YORK, NY",3/13/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",10/19/2017
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",5/21/2018
CONCUR TECHNOLOGIES INC,DATA SCIENTIST,"115,000","BELLEVUE, WA",9/1/2018
NUTANIX INC,DATA SCIENTIST,"115,000","SAN JOSE, CA",8/23/2018
SONDER USA INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/27/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",2/16/2019
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",1/21/2019
SUPPLY FRAME INC,DATA SCIENTIST,"115,000","PASADENA, CA",12/4/2017
APPZEN INC,DATA SCIENTIST,"115,000","SAN JOSE, CA",9/10/2018
GENERAL ELECTRIC COMPANY,DATA SCIENTIST,"115,000","SAN RAMON, CA",9/4/2018
TECHNOLOGY PARTNERS INC,DATA SCIENTIST,"115,000","SAINT LOUIS, MO",8/23/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SEATTLE, WA",1/17/2018
OPTIVER US LLC,DATA SCIENTIST,"115,000","CHICAGO, IL",9/1/2018
IBM CORPORATION,DATA SCIENTIST,"115,000","ARMONK, NY",8/28/2018
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",6/11/2018
VUNGLE INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/1/2018
GARTNER INC,DATA SCIENTIST,"115,000","STAMFORD, CT",9/12/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",7/30/2018
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",6/14/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","BELLEVUE, WA",6/23/2018
HOUZZ INC,DATA SCIENTIST,"115,000","PALO ALTO, CA",8/12/2018
HONEYWELL INTERNATIONAL INC,DATA SCIENTIST,"115,000","ATLANTA, GA",4/26/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",12/29/2017
ASANA INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/12/2018
M SCIENCE LLC,DATA SCIENTIST,"115,000","NEW YORK, NY",8/31/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",8/16/2018
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",9/12/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",12/28/2017
FARMER'S BUSINESS NETWORK INC,DATA SCIENTIST,"115,000","SAN CARLOS, CA",8/21/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/7/2018
ASANA INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",6/21/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",1/24/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",11/3/2017
BLUECORE INC,DATA SCIENTIST,"115,000","NEW YORK, NY",9/5/2018
FARMER'S BUSINESS NETWORK INC,DATA SCIENTIST,"115,000","SAN CARLOS, CA",8/6/2018
GET HEAL INC,DATA SCIENTIST,"115,000","LOS ANGELES, CA",8/15/2018
GARTNER INC,DATA SCIENTIST,"115,000","STAMFORD, CT",9/12/2018
MCKESSON CORPORATION,DATA SCIENTIST,"115,000","THE WOODLANDS, TX",9/17/2018
LEANTAAS INC,DATA SCIENTIST,"115,000","SANTA CLARA, CA",9/17/2018
ILLINOIS CENTRAL RAILROAD COMPANY,DATA SCIENTIST,"115,000","HOMEWOOD, IL",11/10/2018
GARTNER INC,DATA SCIENTIST,"115,000","STAMFORD, CT",9/13/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",11/28/2017
GARTNER INC,DATA SCIENTIST,"115,000","STAMFORD, CT",9/11/2018
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","BELLEVUE, WA",8/29/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",3/26/2018
ACQUIA INC,DATA SCIENTIST,"115,000","BOSTON, MA",9/9/2018
ADVANCE MAGAZINE PUBLISHERS INC DBA CONDE NAST,DATA SCIENTIST,"115,000","NEW YORK, NY",8/28/2018
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/6/2018
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",8/13/2018
CARSCOM,DATA SCIENTIST,"115,000","CHICAGO, IL",3/19/2018
LOTUSFLARE INC,DATA SCIENTIST,"115,000","SUNNYVALE, CA",10/11/2016
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",10/24/2016
SECURITYSCORECARD INC,DATA SCIENTIST,"115,000","NEW YORK, NY",10/20/2016
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","SUNNYVALE, CA",4/14/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",2/16/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",5/17/2017
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",12/5/2016
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",5/23/2017
CHEGG INC,DATA SCIENTIST,"115,000","SANTA CLARA, CA",5/28/2017
TWITTER INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",6/7/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",1/6/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",7/8/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",7/13/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",7/24/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",7/22/2017
WELOCALIZE INC,DATA SCIENTIST,"115,000","NEW YORK, NY",7/28/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",8/6/2017
DATABRICKS INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/10/2017
NATERA INC,DATA SCIENTIST,"115,000","SAN CARLOS, CA",7/11/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",8/13/2017
GODADDYCOM LLC,DATA SCIENTIST,"115,000","SUNNYVALE, CA",8/10/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",8/21/2017
MOCAP ANALYTICS INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",8/17/2017
QUORA INC,DATA SCIENTIST,"115,000","MOUNTAIN VIEW, CA",8/15/2017
HARMAN CONNECTED SERVICES INC,DATA SCIENTIST,"115,000","CHICAGO, IL",3/10/2017
OPTIVER US LLC,DATA SCIENTIST,"115,000","CHICAGO, IL",8/31/2017
FACTSET RESEARCH SYSTEMS INC,DATA SCIENTIST,"115,000","NEW YORK, NY",8/30/2017
SAP LABS LLC,DATA SCIENTIST,"115,000","PALO ALTO, CA",9/5/2017
JPMORGAN CHASE & CO,DATA SCIENTIST,"115,000","NEW YORK, NY",9/6/2017
YUME INC,DATA SCIENTIST,"115,000","REDWOOD CITY, CA",9/7/2017
CA INC,DATA SCIENTIST,"115,000","SAN DIEGO, CA",9/2/2017
SIMMACHINES INC,DATA SCIENTIST,"115,000","CHICAGO, IL",8/1/2017
SUPPLY FRAME INC,DATA SCIENTIST,"115,000","PASADENA, CA",8/15/2017
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","BELLEVUE, WA",9/4/2017
COX AUTOMOTIVE CORPORATE SERVICES LLC,DATA SCIENTIST,"115,000","ATLANTA, GA",4/1/2017
24/7 CUSTOMER INC,DATA SCIENTIST,"115,000","CAMPBELL, CA",9/12/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/9/2017
CENGAGE LEARNING INC,DATA SCIENTIST,"115,000","BOSTON, MA",9/5/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",3/22/2017
DATABRICKS INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/10/2017
24/7 CUSTOMER INC,DATA SCIENTIST,"115,000","CAMPBELL, CA",9/12/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",4/9/2017
TRUEMOTION INC,DATA SCIENTIST,"115,000","BOSTON, MA",9/9/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",5/25/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",5/30/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",6/12/2017
ETHOCA LLC,DATA SCIENTIST,"115,000","AUSTIN, TX",10/1/2017
SUNING COMMERCE R&D CENTER USA INC,DATA SCIENTIST,"115,000","PALO ALTO, CA",8/28/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/15/2017
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",3/15/2018
BITLY INC,DATA SCIENTIST,"115,000","NEW YORK, NY",11/23/2015
FISCALNOTE INC,DATA SCIENTIST,"115,000","WASHINGTON, DC",8/15/2016
DSTILLERY INC,DATA SCIENTIST,"115,000","NEW YORK, NY",2/16/2016
COLLECTIVE HEALTH INC,DATA SCIENTIST,"115,000","SAN MATEO, CA",3/7/2016
GINGERIO INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/21/2016
WELOCALIZE INC,DATA SCIENTIST,"115,000","NEW YORK, NY",9/12/2016
NIMBLE STORAGE INC,DATA SCIENTIST,"115,000","SAN JOSE, CA",9/10/2016
FISCALNOTE INC,DATA SCIENTIST,"115,000","WASHINGTON, DC",8/15/2016
CLOUDERA INC,DATA SCIENTIST,"115,000","PALO ALTO, CA",4/25/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/10/2016
ALLUVIUM INC,DATA SCIENTIST,"115,000","BROOKLYN, NY",12/15/2015
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",6/20/2016
POPSUGAR INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/26/2016
AMERICAN EXPRESS COMPANY,DATA SCIENTIST,"115,000","NEW YORK, NY",9/13/2016
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",1/18/2016
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","SUNNYVALE, CA",9/3/2016
RIVIERA PARTNERS,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/8/2016
MICROSOFT CORPORATION,DATA SCIENTIST,"115,000","REDMOND, WA",10/3/2016
TWITTER INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",6/14/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",12/24/2015
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,DATA SCIENTIST,"115,000","NEW YORK, NY",2/4/2016
GODADDYCOM LLC,DATA SCIENTIST,"115,000","SUNNYVALE, CA",8/16/2016
EXABEAM INC,DATA SCIENTIST,"115,000","SAN MATEO, CA",9/7/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/25/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/1/2016
MCLAGAN PARTNERS INC,DATA SCIENTIST,"115,000","NEW YORK, NY",3/28/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/10/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/1/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/1/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/10/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/10/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",3/25/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/10/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",3/25/2016
FACEBOOK INC,DATA SCIENTIST,"115,000","SEATTLE, WA",5/23/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/1/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",6/22/2016
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",7/18/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",7/21/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/25/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",11/23/2015
SUPPLY FRAME INC,DATA SCIENTIST,"115,000","PASADENA, CA",8/20/2016
FANATICS RETAIL GROUP FULFILLMENT INC,DATA SCIENTIST,"115,000","SUNNYVALE, CA",8/22/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",9/1/2016
THE HUNTINGTON NATIONAL BANK,DATA SCIENTIST,"115,000","COLUMBUS, OH",9/1/2016
PHILIPS ELECTRONICS NORTH AMERICA CORPORATION,DATA SCIENTIST,"115,000","BALTIMORE, MD",9/2/2016
AUDIBLE INC,DATA SCIENTIST,"115,000","NEWARK, NJ",9/6/2016
AUDIBLE INC,DATA SCIENTIST,"115,000","NEWARK, NJ",9/6/2016
TRUECAR INC,DATA SCIENTIST,"115,000","SANTA MONICA, CA",9/20/2016
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",3/28/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",4/25/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",7/20/2016
FANATICS RETAIL GROUP FULFILLMENT INC,DATA SCIENTIST,"115,000","SAN MATEO, CA",10/1/2016
FACEBOOK INC,DATA SCIENTIST,"115,000","MENLO PARK, CA",8/15/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",8/24/2016
UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",10/1/2016
SHUTTERFLY INC,DATA SCIENTIST,"115,000","REDWOOD CITY, CA",10/3/2016
OPTIVER US LLC,DATA SCIENTIST,"115,000","CHICAGO, IL",9/1/2016
