Employer,Title,Salary,Location,Start Date
CREDIT KARMA INC,SENIOR DATA SCIENTIST,"190,000","SAN FRANCISCO, CA",8/10/2018
APIXIO INC,SENIOR DATA SCIENTIST,"190,000","SAN MATEO, CA",9/8/2018
PALO ALTO NETWORKS INC,PRINCIPAL DATA SCIENTIST,"190,000","SANTA CLARA, CA",11/27/2017
MICROSOFT CORPORATION,PRINCIPAL DATA SCIENTIST,"190,000","BELLEVUE, WA",9/6/2016
APPLE INC,MACHINE LEARNING ENGINEER,"190,000","CUPERTINO, CA",7/30/2018
APPLE INC,MACHINE LEARNING ENGINEER,"190,000","CUPERTINO, CA",7/2/2018
APPLE INC,MACHINE LEARNING ENGINEER 4,"190,000","SAN FRANCISCO, CA",4/30/2018
APPLE INC,MACHINE LEARNING ENGINEER 4,"190,000","CUPERTINO, CA",6/25/2018
KENSHO TECHNOLOGIES INC,MACHINE LEARNING ENGINEER AND DATA SCIENTIST,"190,000","CAMBRIDGE, MA",9/1/2018
MAPLEBEAR INC,DATA SCIENTIST,"189,000","SAN FRANCISCO, CA",5/9/2016
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"187,600","REDMOND, WA",5/27/2017
GOOGLE LLC,DATA SCIENTIST 1615.3711,"187,000","SUNNYVALE, CA",9/6/2018
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"186,000","REDMOND, WA",7/23/2018
STAPLES INC,SENIOR DATA SCIENTIST,"186,000","SAN MATEO, CA",9/10/2017
AIRBNB INC,DATA SCIENCE MACHINE LEARNING,"185,000","SAN FRANCISCO, CA",1/30/2017
ZS ASSOCIATES INC,DATA SCIENCE MANAGER,"185,000","PRINCETON, NJ",8/25/2018
FACEBOOK INC,DATA SCIENTIST,"185,000","MENLO PARK, CA",9/4/2018
FACEBOOK INC,DATA SCIENTIST,"185,000","MENLO PARK, CA",9/3/2018
APPLE INC,DATA SCIENTIST,"185,000","CUPERTINO, CA",4/16/2018
COURSERA INC,DATA SCIENTIST,"185,000","MOUNTAIN VIEW, CA",4/1/2017
WAL-MART ASSOCIATES INC,DATA SCIENTIST,"185,000","SAN BRUNO, CA",9/14/2015
EBAY INC,DATA SCIENTIST 2,"185,000","BELLEVUE, WA",1/10/2018
AIRBNB INC,DATA SCIENTIST RISK,"185,000","SAN FRANCISCO, CA",5/8/2017
IMPACT TECH INC,SENIOR DATA SCIENTIST,"185,000","NEW YORK, NY",5/28/2018
CREDIT KARMA INC,SENIOR DATA SCIENTIST,"185,000","SAN FRANCISCO, CA",7/9/2018
BLOOMBERG LP,SENIOR DATA SCIENTIST,"185,000","NEW YORK, NY",4/24/2017
CARGURUS INC,SENIOR DATA SCIENTIST/STATISTICIAN,"185,000","CAMBRIDGE, MA",7/23/2018
APPLE INC,MACHINE LEARNING ENG 4,"185,000","CUPERTINO, CA",10/23/2017
APPLE INC,MACHINE LEARNING ENG 4,"185,000","CUPERTINO, CA",7/24/2017
ORACLE AMERICA INC,DATA SCIENTIST DIRECTOR,"184,823","REDWOOD SHORES, CA",4/25/2017
NETFLIX INC,SENIOR DATA SCIENTIST,"184,350","LOS GATOS, CA",8/27/2018
NETFLIX INC,SENIOR DATA SCIENTIST,"184,350","LOS GATOS, CA",8/20/2018
FACEBOOK INC,DATA SCIENTIST,"184,000","MENLO PARK, CA",5/2/2016
GROUPON INC,SENIOR DATA SCIENTIST,"184,000","PALO ALTO, CA",8/25/2017
APPLE INC,MACHINE LEARNING MGR,"183,976","CUPERTINO, CA",7/20/2017
EBAY INC,"DATA SCIENTIST 3, ANALYST","183,696","SAN JOSE, CA",8/17/2018
WAL-MART ASSOCIATES INC,PRINCIPAL DATA SCIENTIST,"183,346","SUNNYVALE, CA",4/8/2018
ADOBE SYSTEMS INCORPORATED,DATA SCIENTIST,"183,066","SAN JOSE, CA",8/6/2015
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"182,803","REDMOND, WA",11/6/2017
DATAROBOT INC,DATA SCIENTIST,"182,700","BOSTON, MA",7/15/2018
HALOS INSURANCE INC,DATA SCIENTIST,"182,700","WASHINGTON DC, DC",7/23/2018
HALOS INSURANCE INC,DATA SCIENTIST,"182,700","CARY, NC",7/23/2018
AIRBNB INC,DATA SCIENTIST,"182,610","SAN FRANCISCO, CA",10/1/2017
FACEBOOK INC,DATA SCIENTIST,"182,281","MENLO PARK, CA",10/21/2017
BAIDU USA LLC,MACHINE LEARNING ENGINEER,"181,668","SUNNYVALE, CA",8/27/2018
ACCENTURE LLP,DATA SCIENCE SENIOR MANAGER,"181,500","ARLINGTON HEIGHTS, IL",8/19/2016
ACCENTURE LLP,DATA SCIENCE SENIOR MANAGER,"181,500","CHICAGO, IL",8/19/2016
EBAY INC,DATA SCIENTIST 2,"181,126","NEW YORK, NY",2/6/2017
EBAY INC,DATA SCIENTIST 2,"181,126","NEW YORK, NY",9/5/2017
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC,SENIOR DATA SCIENTIST,"180,960","REDLANDS, CA",8/20/2018
NETFLIX INC,SENIOR DATA SCIENTIST,"180,877","LOS GATOS, CA",11/16/2015
NETFLIX INC,SENIOR DATA SCIENTIST,"180,877","LOS GATOS, CA",6/1/2016
NETFLIX INC,SENIOR DATA SCIENTIST,"180,877","LOS GATOS, CA",5/30/2016
NETFLIX INC,SENIOR DATA SCIENTIST,"180,877","LOS GATOS, CA",12/4/2016
NETFLIX INC,SENIOR DATA SCIENTIST,"180,877","LOS GATOS, CA",11/2/2015
NETFLIX INC,SENIOR DATA SCIENTIST,"180,877","LOS GATOS, CA",12/18/2016
NETFLIX INC,SENIOR DATA SCIENTIST,"180,877","LOS GATOS, CA",11/1/2015
NETFLIX INC,SENIOR DATA SCIENTIST - STREAMING SCIENCE AND ALGORITHMS,"180,877","LOS GATOS, CA",6/26/2016
NETFLIX INC,SR. DATA SCIENTIST-ACQUISITION AND MESSAGING EXPERIMENTATION,"180,877","LOS GATOS, CA",6/4/2016
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"180,591","REDMOND, WA",9/15/2017
CAPITAL GROUP COMPANIES GLOBAL,DATA SCIENCE MANAGER (15-1199.09),"180,000","IRVINE, CA",3/30/2018
FACEBOOK INC,DATA SCIENTIST,"180,000","MENLO PARK, CA",1/29/2018
FACEBOOK INC,DATA SCIENTIST,"180,000","MENLO PARK, CA",2/5/2018
FACEBOOK INC,DATA SCIENTIST,"180,000","SEATTLE, WA",2/12/2018
AIRBNB INC,DATA SCIENTIST,"180,000","SAN FRANCISCO, CA",7/30/2018
